Attached 4 probes
TIME     PID      COMM                 SYSCALL    NAMESPACE FLAGS
1414     3293482  runc:[1:CHILD]       unshare    flags=0x6e020000 NEWNS NEWCGROUP NEWUTS NEWIPC NEWPID 
    +NEWNET
1415     3293471  runc                 setns      (entering existing namespace, fd=17)
1457     2104881  dockerd              setns      (entering existing namespace, fd=32)
1457     2104881  dockerd              setns      (entering existing namespace, fd=33)
1457     2104881  dockerd              setns      (entering existing namespace, fd=32)
1457     2104881  dockerd              setns      (entering existing namespace, fd=33)
1468     2104881  dockerd              setns      (entering existing namespace, fd=33)
1468     2104881  dockerd              setns      (entering existing namespace, fd=35)
1468     2104881  dockerd              setns      (entering existing namespace, fd=32)
1468     2104881  dockerd              setns      (entering existing namespace, fd=33)
1469     2104881  dockerd              setns      (entering existing namespace, fd=33)
1469     2104881  dockerd              setns      (entering existing namespace, fd=35)


