Attached 4 probes
TIME     PID      COMM                 SYSCALL    NAMESPACE FLAGS
1411     3295960  runc:[1:CHILD]       unshare    flags=0x6e020000 NEWNS NEWCGROUP NEWUTS NEWIPC NEWPID 
    +NEWNET
1412     3295949  runc                 setns      (entering existing namespace, fd=17)
1623     3295968  nvidia-containe      setns      (entering existing namespace, fd=6)
1625     3295968  nvidia-containe      setns      (entering existing namespace, fd=3)
1625     3295968  nvidia-containe      setns      (entering existing namespace, fd=6)
1626     3295968  nvidia-containe      setns      (entering existing namespace, fd=3)
1627     3295984  nvc:[ldconfig]       setns      (entering existing namespace, fd=6)
1627     3295984  nvc:[ldconfig]       unshare    flags=0x20000 NEWNS 
1664     2104881  dockerd              setns      (entering existing namespace, fd=32)
1664     2104881  dockerd              setns      (entering existing namespace, fd=33)
1665     2104881  dockerd              setns      (entering existing namespace, fd=32)
1665     2104881  dockerd              setns      (entering existing namespace, fd=33)
1675     2104881  dockerd              setns      (entering existing namespace, fd=33)
1675     2104881  dockerd              setns      (entering existing namespace, fd=35)
1675     2104881  dockerd              setns      (entering existing namespace, fd=32)
1675     2104881  dockerd              setns      (entering existing namespace, fd=33)
1675     2104881  dockerd              setns      (entering existing namespace, fd=33)
1675     2104881  dockerd              setns      (entering existing namespace, fd=35)


