Attached 4 probes
TIME     PID      COMM                 SYSCALL    NAMESPACE FLAGS
1433     3291588  runc:[1:CHILD]       unshare    flags=0x6e020000 NEWNS NEWCGROUP NEWUTS NEWIPC NEWPID 
    +NEWNET
1434     3291577  runc                 setns      (entering existing namespace, fd=17)
1448     2104881  dockerd              setns      (entering existing namespace, fd=31)
1448     2104881  dockerd              setns      (entering existing namespace, fd=32)
1449     2104881  dockerd              setns      (entering existing namespace, fd=31)
1449     2104881  dockerd              setns      (entering existing namespace, fd=32)
1459     2104881  dockerd              setns      (entering existing namespace, fd=32)
1459     2104881  dockerd              setns      (entering existing namespace, fd=34)
1459     2104881  dockerd              setns      (entering existing namespace, fd=31)
1459     2104881  dockerd              setns      (entering existing namespace, fd=32)
1459     2104881  dockerd              setns      (entering existing namespace, fd=32)
1459     2104881  dockerd              setns      (entering existing namespace, fd=34)


