category,total_challenges,found_by_automated_scanner,found_by_manual_only,found_by_neither
Sensitive Data Exposure,17,0,0,17
Injection,14,0,0,14
Improper Input Validation,12,0,0,12
Broken Access Control,12,0,1,11
XSS,9,0,0,9
Vulnerable Components,9,0,0,9
Broken Authentication,9,0,0,9
Miscellaneous,6,0,0,6
Security Misconfiguration,5,0,0,5
Cryptographic Issues,5,0,0,5
Observability Failures,4,1,0,3
Broken Anti Automation,4,0,0,4
Security through Obscurity,3,0,0,3
Insecure Deserialization,3,0,0,3
Unvalidated Redirects,2,0,0,2
XXE,2,0,0,2
